Genes (Variables) ,Aged ,APP ,DAM 1,DAM 2,MgnD,Microglía AQP4 CC neonatal,Microglía AQP4 AC neonatal,WAM,LDAM,CD11c,PAM,ATM
Fcer1g,0.022202830360857,-0.0171734841704654,0.174409933980886,0.087267340266538,0.158584084147962,0.265710925101029,0.111689127353173,0.711300333475196,0.00817621083089503,0.0232734050470075,0,0
Mpeg1,0,0,0.228607288680715,0.118027637306903,0.20886966360214,0.395380636790066,0.284100479463466,,-0.359003337596209,0.103056272636997,0,0.160164583995642
Plek,0.0933362480673962,0.119608471816742,0.111797378666247,0.0557364261097221,0.166280645155627,0.305921025171457,0.285165281064316,,0.0702533082857026,0.114926124885857,0.32387416671917,0.106784131681583
Mrc1,0.295546385741591,-0.181405743405197,-0.0104641921072153,-0.0686434053042153,-0.106909192375646,0.331493343822719,0.104504789531283,,-0.0320429715259733,0.0781160993434361,-0.103062141543354,0
Hacd4,0,0,0,0,0,0.209721913134838,0.00603705336569465,,0,0,0,0
C3ar1,0.0479228844467256,0.0225703101973554,0.175378651127606,0.0826598136247737,0.0558813065829413,0.391976947913284,0.202480343559514,,0.0122930484415721,0.116364531458502,0.251479805795277,0.103713924998505
Igf1,0,0.70138052335057,1,0.908433820385916,0.907670578059568,0.291834628853113,0.206814195507621,,-1,0.499366673777718,0.427601988140583,0.471662143101598
Ms4a4a,0,0,0,0,0,0.220419973990337,-0.00925922949149622,,0,0,0,0
Trem2,-0.00997705094744939,0.138821250166969,0.128673679362296,0.145117323702789,0.262744239862451,0.215309631370964,0.0857587540751072,,0.0662014210092215,0.0642715567330623,0.159303078046863,0
Fcgr2b,0.093915274719955,0.0362118986602449,0.009017186194812,-0.0358427821115202,0.145728982754844,0.236710045358963,0.200517033302201,,0.0186501402396445,0.0740777178961713,0,-0.10768101841453
Ccl9,-0.0842970400717393,-0.0993631445241556,0.273821553405689,0.02012062415699,0.0258872573143849,0.319893933410326,0.381052152262165,,-0.0158963788798264,0.220080521860884,0.157983439438371,0.258752051025854
Cd180,0.132544151028281,0.030920036980787,0.0868717756609701,0.0451098224548021,0.122094061680223,0.227002762872513,0.155634824871637,,-0.102436704380099,0.0132226979993961,0.131679576932485,0
Anxa4,0.194654202637818,0.144078254421365,0.332522152918898,-0.00075984558757476,0.161828429957743,0.194076611351609,0.0447209162895198,,0.124571764258105,0.225505440444365,0.151719736923421,0
Itgax,0.3273597109359,0.538529970342127,0.809752422428674,0.800222539763201,0.599498257449574,0.348627877826719,0.323172149608326,,-0.109299975855853,0.859445489472229,0.166033550716807,0.12384676228832
Ctsz,0.0783207102467062,0.108947507222691,0.271896453942808,0.223848310275568,0.290360277452102,0.223301856843261,0.201623944022203,0.896954988855073,0.0155516796356491,0.0993583634560222,0.279853132311724,0.175347903782045
Fcgr3,-0.0444950618612355,-0.0540806839432697,-0.033421897003522,0.0316061699120222,0.0891601573044128,0.271490969684965,0.28705072759119,,0.119323167025821,0.0678353871486642,0,0
Ctsd,0.00478635415925733,0.121604880974914,0.223816153188066,0.244967132891646,0.335529305931375,0.199671807126987,0.103559936986826,,0.0613537882146312,0.192903759639167,0.289595614591199,0
Apobec1,0.101266289452973,0.0700478228200687,-0.136040723116497,-0.0038757664131104,-0.0682829726002393,0.200362061702838,0.0154633073035753,,-0.0263711685547498,0.072311528683038,0,0
Ly86,0.0486239660123961,0.0120582040461165,-0.0220709725521925,0.0138485804166388,0.175503868170299,0.185113040127997,0.104007450958981,,0.00383190787549933,0.0190981170890077,0,0
Slc37a2,-0.0205500577391458,0.0419805569779086,0.0191807442208166,0.154136135741675,0.104939679162969,0.222532418172371,0.150512722385305,,0.0519039761511065,0.116597160167904,0.321703782727514,0
Hpgds,0,0,-0.0696359908354988,-0.082563908519664,-0.0577760928537191,0.236093382253722,0.087189192557969,,0.0241958647232468,-0.0409967472824154,0.164681352787738,0
Man2b1,0.0953436033653794,-0.0170580594624052,0.209922093170851,0.0942642624117758,0.15082992049115,0.160623762924112,0.150971068626844,,0.0794020363429961,0.0235095539349916,0.107008856596069,0
